sample_id	taxon_name	host_family	host_genus	substrate_type	site_id	voucher	accession	reference	substrate_notes		
S10	Fuscopannaria_ahlneri	pannariaceae	fuscopannaria	epiphytic	NA	Sérusiaux DP10 LG					
S11	Fuscopannaria_leucosticta	pannariaceae	fuscopannaria	epiphytic	NA	Sérusiaux DP13 LG					
S12	Fuscopannaria_ahlneri	pannariaceae	kroswia	epiphytic	NA	Sérusiaux DP4 LG					
S13	Fuscopannaria_crystallifera	pannariaceae	kroswia	epiphytic	NA	Sérusiaux DP7 LG					
S14	Peltigera_pacifica	peltigeraceae	peltigera	terricolous	NA	"Canada, British Columbia, Goward 06-1522, UBC"					
S15	Peltigera_pacifica	peltigeraceae	peltigera	terricolous	NA	"United States of America, Oregon, McCune 27796, OSC"					
S16	Peltigera_pacifica	peltigeraceae	peltigera	terricolous	NA	"Canada, British Columbia, Vitikainen 13080, H"					
S17	Peltigera_vitikainenii	peltigeraceae	peltigera	terricolous	NA	"Japan, Hokkaido, Magain 8103, LG"					
S18	Peltigera_vitikainenii	peltigeraceae	peltigera	terricolous	NA	"Japan, Hokkaido, Magain 8051, LG"					
S19	Peltigera_vitikainenii	peltigeraceae	peltigera	terricolous	NA	"Japan, Hokkaido, Magain 8074, LG"					
S2	Fuscopannaria_leucosticta	pannariaceae	pannariaceae	epiphytic	NA	"Sérusiaux PAN_E, LG"					
S20	Peltigera_vitikainenii	peltigeraceae	peltigera	terricolous	NA	"Japan, Hokkaido, Magain 8078, LG"					
S21	Peltigera_vitikainenii	peltigeraceae	peltigera	terricolous	NA	"Japan, Hokkaido, Magain 8046, LG"					
S22	Peltigera_vitikainenii	peltigeraceae	peltigera	terricolous	NA	"Japan, Hokkaido, Magain 8056, LG"					
S23	Peltigera_vitikainenii	peltigeraceae	peltigera	terricolous	NA	"Japan, Hokkaido, Magain 8060, LG"					
S24	Peltigera_vitikainenii	peltigeraceae	peltigera	terricolous	NA	"Japan, Hokkaido, Magain 8132, LG"					
S25	Peltigera_vitikainenii	peltigeraceae	peltigera	terricolous	NA	"Japan, Honshu, Juriado 787, Tartu"					
S26	Peltigera_vitikainenii	peltigeraceae	peltigera	terricolous	NA	"Japan, Honshu, Juriado 769, Tartu"					
S27	Peltigera_vitikainenii	peltigeraceae	peltigera	terricolous	NA	" Russia, Khabarovsk Territory, Konoreva 3, GPS 774"					
S29	Peltigera_vitikainenii	peltigeraceae	peltigera	terricolous	NA	"France, Vosges,Magain 8019, LG"					
S3	Lepidocollema_stylophorum	pannariaceae	pannariaceae	epiphytic	NA	Sérusiaux PAN_G LG					
S30	Peltigera_vitikainenii	peltigeraceae	peltigera	terricolous	NA	Vust 28/9/1998 G					
S31	Peltigera_vitikainenii	peltigeraceae	peltigera	terricolous	NA	"Canada, British Columbia, cf your P12054"					
S32	Peltigera_vitikainenii	peltigeraceae	peltigera	terricolous	NA	"Canada, British Columbia, cf your P12230"					
S33	Peltigera_vitikainenii	peltigeraceae	peltigera	terricolous	NA	"United States of America, Alaska, K. Spickerman 160, OSC"					
S34	Peltigera_vitikainenii	peltigeraceae	peltigera	terricolous	NA	I. Juriado GPS117 Tartu					
S35	Peltigera_vitikainenii	peltigeraceae	peltigera	terricolous	NA	Magain P384 O					
S37	Peltigera_vitikainenii	peltigeraceae	peltigera	terricolous	NA	Magain P530 LG					
S38	Peltigera_vitikainenii	peltigeraceae	peltigera	terricolous	NA	Magain P675 LG					
